,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,new_death,pnew_death,created_at,consent_cases,consent_deaths,conf_death,prob_death
827,2020-12-24T00:00:00.000,WA,233184,,,2894.0,218,3184,22.0,0,2020-12-26T00:00:00.000,N/A,N/A,,
828,2020-04-14T00:00:00.000,VI,51,,,0.0,,1,0.0,,2020-04-13T16:22:39.452,,,,
829,2021-03-29T00:00:00.000,MI,785211,707388.0,77823,7445.0,1024,17223,33.0,3,2021-03-30T00:00:00.000,Agree,Agree,16186.0,1037
830,2020-07-28T00:00:00.000,MD,86285,,,761.0,0,3585,12.0,0,2020-07-30T00:00:00.000,N/A,Agree,3445.0,140
831,2021-01-19T00:00:00.000,MD,332353,,,2167.0,0,7113,49.0,0,2021-01-21T00:00:00.000,N/A,Agree,6920.0,193
832,2021-02-17T00:00:00.000,IN,652242,,,935.0,0,12613,29.0,1,2021-02-17T00:00:00.000,Not agree,Agree,12220.0,393
833,2020-12-05T00:00:00.000,GU,6959,,,0.0,0,113,0.0,0,2020-12-06T14:51:16.617,Not agree,Not agree,,
834,2021-07-28T00:00:00.000,NV,353746,,,1179.0,0,5874,20.0,0,2021-07-29T13:49:46.674,,,,
835,2020-11-04T00:00:00.000,ME,7260,6417.0,843,183.0,7,150,0.0,0,2020-11-05T14:39:23.079,Agree,Agree,149.0,1
836,2020-08-28T00:00:00.000,ND,11484,11484.0,0,374.0,0,141,2.0,0,2020-08-29T13:42:50.366,Agree,Not agree,,
837,2020-08-01T00:00:00.000,ID,21114,19849.0,1265,393.0,7,197,8.0,0,2020-08-02T14:54:37.126,Agree,Agree,174.0,23
838,2021-05-03T00:00:00.000,MI,964011,864537.0,99474,3069.0,458,19347,74.0,3,2021-05-04T00:00:00.000,Agree,Agree,18174.0,1173
839,2021-05-31T00:00:00.000,ME,67819,49671.0,18148,39.0,15,825,0.0,0,2021-06-01T15:18:33.855,Agree,Agree,797.0,28
840,2021-05-12T00:00:00.000,MO,592049,,,619.0,168,8991,3.0,0,2021-05-14T00:00:00.000,Not agree,Not agree,,
841,2020-07-21T00:00:00.000,GU,330,,,1.0,0,5,0.0,0,2020-07-22T14:51:28.800,Not agree,Not agree,,
842,2020-06-10T00:00:00.000,ND,2941,2941.0,0,40.0,0,73,1.0,0,2020-06-11T14:48:51.509,Agree,Not agree,,
843,2020-04-21T00:00:00.000,MD,14775,,,582.0,0,737,50.0,2,2020-04-23T00:00:00.000,N/A,Agree,699.0,38
844,2021-07-15T00:00:00.000,MS,326804,199853.0,126951,534.0,218,7580,8.0,4,2021-07-17T00:00:00.000,Agree,Agree,5227.0,2353
845,2020-10-09T00:00:00.000,GU,2989,,,0.0,0,58,0.0,0,2020-10-10T13:30:17.102,Not agree,Not agree,,
846,2020-06-13T00:00:00.000,MT,588,588.0,0,0.0,0,18,0.0,0,2020-06-14T14:19:43.716,Agree,Agree,18.0,0
847,2020-10-25T00:00:00.000,ME,6254,5551.0,703,117.0,41,146,0.0,0,2020-10-26T13:41:41.106,Agree,Agree,145.0,1
848,2020-07-11T00:00:00.000,NC,93123,92825.0,298,2150.0,28,1625,24.0,0,2020-07-11T00:00:00.000,Agree,Agree,1624.0,1
849,2021-08-26T00:00:00.000,AL,689436,525785.0,163651,3568.0,908,12216,10.0,2,2021-08-28T00:00:00.000,Agree,Agree,9665.0,2551
850,2020-07-18T00:00:00.000,NV,34689,,,1186.0,4,672,9.0,0,2020-07-19T15:05:47.084,,,,
851,2021-08-20T00:00:00.000,IL,1482369,1482369.0,0,4904.0,0,26223,26.0,8,2021-08-21T13:25:01.728,Agree,Agree,23717.0,2506
852,2020-11-04T00:00:00.000,VI,1388,,,0.0,0,23,1.0,0,2020-11-05T14:39:23.079,,,,
853,2020-03-24T00:00:00.000,AL,1779,1700.0,79,161.0,9,6,1.0,0,2020-03-26T00:00:00.000,Agree,Agree,4.0,2
854,2020-11-23T00:00:00.000,ID,93090,79410.0,13680,1437.0,190,866,16.0,-1,2020-11-24T15:27:55.668,Agree,Agree,800.0,66
855,2020-04-29T00:00:00.000,AL,9235,8998.0,237,262.0,4,371,11.0,0,2020-05-01T00:00:00.000,Agree,Agree,352.0,19
856,2020-11-19T00:00:00.000,ME,9958,8933.0,1025,224.0,24,173,2.0,0,2020-11-20T15:06:16.717,Agree,Agree,172.0,1
857,2020-05-06T00:00:00.000,GU,155,,,6.0,0,5,0.0,0,2020-05-07T22:59:02.953,Not agree,Not agree,,
858,2020-11-05T00:00:00.000,CA,991764,980910.0,10854,8525.0,279,18631,38.0,0,2020-11-05T00:00:00.000,Agree,Agree,18631.0,0
859,2021-07-17T00:00:00.000,NE,226181,,,74.0,0,2278,0.0,0,2021-07-19T00:00:00.000,Not agree,Not agree,,
860,2020-06-19T00:00:00.000,MT,698,698.0,0,32.0,0,20,0.0,0,2020-06-20T14:15:45.452,Agree,Agree,20.0,0
861,2021-02-10T00:00:00.000,NC,820677,718036.0,102641,3828.0,800,11564,63.0,17,2021-02-10T00:00:00.000,Agree,Agree,10254.0,1310
862,2020-11-23T00:00:00.000,DE,32813,31501.0,1312,447.0,11,757,9.0,0,2020-11-25T00:00:00.000,Agree,Agree,666.0,91
863,2021-03-24T00:00:00.000,ID,178554,143646.0,34908,435.0,143,1952,1.0,1,2021-03-25T14:25:23.209,Agree,Agree,1703.0,249
864,2020-12-26T00:00:00.000,MS,209522,145866.0,63656,1819.0,1257,5358,33.0,23,2020-12-28T00:00:00.000,Agree,Agree,4107.0,1251
865,2020-12-25T00:00:00.000,NV,214064,,,1853.0,0,2943,27.0,0,2020-12-26T14:34:18.488,,,,
866,2020-12-27T00:00:00.000,MT,79780,79780.0,0,347.0,0,924,5.0,0,2020-12-28T14:42:49.996,Agree,Agree,924.0,0
867,2020-07-17T00:00:00.000,MI,148322,134595.0,13727,1473.0,149,6432,5.0,1,2020-07-18T00:00:00.000,Agree,Agree,6120.0,312
868,2021-06-07T00:00:00.000,MI,999066,894175.0,104891,299.0,58,20779,27.0,3,2021-06-08T00:00:00.000,Agree,Agree,19538.0,1241
869,2021-02-09T00:00:00.000,MD,366666,,,1137.0,0,7907,33.0,0,2021-02-11T00:00:00.000,N/A,Agree,7708.0,199
870,2020-03-23T00:00:00.000,ND,32,,,2.0,,0,0.0,,2020-03-26T16:22:39.452,Agree,Not agree,,
871,2021-07-20T00:00:00.000,CT,351302,321138.0,30164,218.0,50,8282,0.0,-1,2021-07-21T14:18:34.888,Agree,Agree,6813.0,1469
872,2020-10-23T00:00:00.000,NC,261602,250747.0,10855,2417.0,283,4457,28.0,1,2020-10-23T00:00:00.000,Agree,Agree,4372.0,85
873,2021-04-20T00:00:00.000,IL,1306787,1306787.0,0,2587.0,0,23989,13.0,4,2021-04-21T14:12:05.083,Agree,Agree,21694.0,2295
874,2020-07-27T00:00:00.000,DE,14908,13963.0,945,71.0,0,580,1.0,0,2020-07-29T00:00:00.000,Agree,Agree,510.0,70
875,2020-02-09T00:00:00.000,NH,0,,,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree,,
876,2020-12-31T00:00:00.000,GU,7308,,,0.0,0,121,0.0,0,2021-01-01T14:49:07.256,Not agree,Not agree,,
877,2021-04-28T00:00:00.000,WA,399844,,,1490.0,220,5474,12.0,0,2021-04-30T00:00:00.000,N/A,N/A,,
878,2020-10-26T00:00:00.000,VI,1348,,,0.0,0,21,0.0,0,2020-10-27T13:47:53.687,,,,
879,2021-03-12T00:00:00.000,VT,15408,,,121.0,3,212,2.0,0,2021-03-14T00:00:00.000,Not agree,Not agree,,
880,2021-03-06T00:00:00.000,NE,203542,,,211.0,0,2113,1.0,0,2021-03-08T00:00:00.000,Not agree,Not agree,,
881,2021-01-13T00:00:00.000,VT,8736,,,104.0,11,162,1.0,1,2021-01-15T00:00:00.000,Not agree,Not agree,,
882,2020-08-29T00:00:00.000,IL,233065,231363.0,1702,1880.0,0,8217,11.0,0,2020-08-30T14:49:52.418,Agree,Agree,8008.0,209
883,2020-07-09T00:00:00.000,CA,376975,376263.0,712,12582.0,72,7786,102.0,0,2020-07-09T00:00:00.000,Agree,Agree,7786.0,0
884,2021-04-15T00:00:00.000,ND,105557,98126.0,7431,177.0,32,1478,3.0,0,2021-04-16T14:12:25.838,Agree,Not agree,,
885,2021-07-07T00:00:00.000,CA,3885330,3730392.0,154938,2973.0,235,63607,14.0,0,2021-07-07T00:00:00.000,Agree,Agree,63607.0,0
886,2021-02-12T00:00:00.000,CA,3574035,3442285.0,131750,7876.0,420,55494,329.0,0,2021-02-12T00:00:00.000,Agree,Agree,55494.0,0
